Intel Xeon X5687,32.0,130.0,239.0
AMD Phenom X3 8850,65.0,95.0,285.0
AMD Sempron 2200+,130.0,62.0,80.0
Intel Pentium 4 1.9,180.0,69.0,217.0
AMD Phenom X4 9600B,65.0,95.0,285.0
AMD Athlon XP 1800+,130.0,51.0,80.0
Intel Core i3-2100T,32.0,35.0,131.0
AMD Athlon XP 2500+,130.0,68.0,101.0
Intel Pentium III  933,180.0,27.0,80.0
Intel Pentium P6100,32.0,35.0,81.0
Intel Core 2 Duo U7700,65.0,10.0,111.0
Intel Celeron G1101,32.0,73.0,81.0
Intel Pentium M 760,90.0,27.0,84.0
AMD Opteron 3350 HE,32.0,45.0,315.0
AMD Athlon 64 3200+,90.0,67.0,83.0
Intel Xeon MP 7030 Dual-Core,90.0,135.0,213.0
AMD A8-5557M,32.0,35.0,246.0
Intel Celeron 857,32.0,17.0,131.0
Intel Pentium 4-M 2.50,130.0,35.0,131.0
AMD EPYC 7542,7.0,225.0,74.0
AMD Athlon 64 3000+,90.0,62.0,183.0
AMD E2-2000,40.0,18.0,75.0
Intel Pentium 4-M 1.90,130.0,32.0,131.0
AMD Athlon 64 X2 3600+,65.0,65.0,126.0
AMD EPYC 7402P,7.0,180.0,74.0
Intel Core i7-880,45.0,95.0,296.0
Intel Pentium 4 HT 561,90.0,115.0,109.0
Intel Pentium 4 HT 661,65.0,86.0,81.0
Intel Pentium Dual-Core T4500,45.0,35.0,107.0
Intel Core i5-655K,32.0,73.0,81.0
AMD Opteron 144,130.0,85.0,193.0
Intel Pentium 4 HT 2.8E,90.0,115.0,109.0
AMD EPYC 7H12,7.0,280.0,74.0
AMD Phenom II X2 B55,45.0,80.0,258.0
AMD Athlon 64 LE-1600,90.0,45.0,3.0
AMD Opteron 148,130.0,89.0,193.0
Intel Core i3-2328M,32.0,35.0,149.0
Intel Core i5-4690,22.0,84.0,177.0
AMD Athlon II X3 450,45.0,95.0,169.0
Intel Xeon E3-1235,32.0,95.0,216.0
AMD Athlon 64 FX-76,90.0,125.0,235.0
Intel Xeon E5-2670 v2,22.0,115.0,160.0
Intel Atom E640,45.0,3.0,26.0
AMD Athlon 950,180.0,52.0,120.0
AMD Athlon X2 7850 BE,65.0,95.0,285.0
Intel Core 2 Extreme QX9300,45.0,45.0,107.0
AMD Sempron 2600+,90.0,62.0,84.0
Intel Xeon Phi 3110X,22.0,300.0,350.0
AMD EPYC 7702,7.0,200.0,74.0
Intel Celeron G1620,22.0,55.0,94.0
Intel Core 2 Duo E8400,45.0,65.0,104.0
Intel Xeon L5506,45.0,60.0,263.0
AMD Athlon 64 3500+,130.0,89.0,193.0
Intel Xeon Phi 5110P,22.0,225.0,350.0
Intel Core i3-4330T,22.0,35.0,177.0
AMD FX-8100,32.0,95.0,315.0
AMD Ryzen Threadripper 1940,14.0,180.0,213.0
Intel Xeon Phi 7120D,22.0,270.0,350.0
AMD Mobile Athlon 64 2800+,130.0,82.0,193.0
AMD E1-1200,40.0,18.0,75.0
Intel Core i3-2340UE,32.0,17.0,149.0
AMD Mobile Athlon 64 3000+,130.0,82.0,193.0
Intel Atom Z560,45.0,2.0,26.0
Intel Pentium G840,32.0,65.0,131.0
AMD Phenom II X4 820,45.0,95.0,258.0
AMD Opteron 43CX EE,32.0,35.0,315.0
AMD Ryzen 5 PRO 2400G,14.0,65.0,210.0
Intel Celeron G530,32.0,65.0,131.0
AMD Ryzen 5 PRO 1500,14.0,65.0,192.0
AMD Phenom II X4 840T,45.0,95.0,346.0
Intel Pentium E5200,45.0,65.0,82.0
AMD Athlon 64 3600+,130.0,89.0,193.0
AMD Phenom X4 9100e,65.0,65.0,285.0
Intel Pentium M 770,90.0,27.0,84.0
Intel Core 2 Quad Q8200,45.0,95.0,82.0
AMD Athlon 1333,180.0,70.0,120.0
AMD Athlon 64 3200+,90.0,67.0,84.0
AMD Phenom II X4 910e,45.0,65.0,258.0
Intel Atom D425,45.0,10.0,66.0
Intel Core Duo T2400,65.0,31.0,90.0
Intel Pentium 4-M 1.50,130.0,26.0,131.0
Intel Xeon 2.66,130.0,89.0,217.0
Intel Celeron D 326,90.0,73.0,109.0
Intel Pentium Dual-Core E2180,65.0,65.0,77.0
AMD A8-3510MX,32.0,45.0,228.0
Intel Xeon Phi SE10X,22.0,300.0,350.0
AMD Phenom II X3 740 BE,45.0,95.0,258.0
Intel Core i5-6400,14.0,65.0,177.0
Intel Atom Z550,45.0,2.0,26.0
AMD Athlon II X4 620,45.0,95.0,169.0
AMD Ryzen Threadripper 1950X,14.0,180.0,213.0
Intel Xeon E5-2420 v2,22.0,80.0,160.0
AMD A6-5350M,32.0,35.0,246.0
AMD Phenom X4 9550,65.0,95.0,285.0
Intel Core 2 Duo E7200,45.0,65.0,82.0
Intel Core Duo ULV L2500,65.0,9.0,90.0
Intel Mobile Pentium 4 HT 552,90.0,88.0,112.0
Intel Xeon E5-4610,32.0,130.0,435.0
Intel Celeron E3500,45.0,65.0,82.0
Intel Core i7-3517U,22.0,17.0,118.0
Intel Xeon E3-1220L,32.0,20.0,131.0
Intel Core i3-3225,22.0,55.0,118.0
AMD Phenom II X2 565 BE,45.0,80.0,258.0
AMD Turion 64 ML-34,90.0,35.0,125.0
Intel Core Duo LV L2400,65.0,15.0,90.0
Intel Celeron D 341,90.0,84.0,109.0
AMD E2-1800,40.0,18.0,75.0
Intel Pentium 4 1.4,180.0,55.0,217.0
